Emittententicker,Name,ISIN
NVDA,NVIDIA CORP,US67066G1040
AAPL,APPLE INC,US0378331005
MSFT,MICROSOFT CORP,US5949181045
AMZN,AMAZON COM INC,US0231351067
AVGO,BROADCOM INC,US11135F1012
GOOGL,ALPHABET INC CLASS A,US02079K3059
GOOG,ALPHABET INC CLASS C,US02079K1079
META,META PLATFORMS INC CLASS A,US30303M1027
TSLA,TESLA INC,US88160R1014
BRKB,BERKSHIRE HATHAWAY INC CLASS B,US0846707026
LLY,ELI LILLY,US5324571083
JPM,JPMORGAN CHASE & CO,US46625H1005
V,VISA INC CLASS A,US92826C8394
JNJ,JOHNSON & JOHNSON,US4781601046
XOM,EXXON MOBIL CORP,US30231G1022
WMT,WALMART INC,US9311421039
NFLX,NETFLIX INC,US64110L1061
MA,MASTERCARD INC CLASS A,US57636Q1040
COST,COSTCO WHOLESALE CORP,US22160K1051
ABBV,ABBVIE INC,US00287Y1091
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,US69608A1088
BAC,BANK OF AMERICA CORP,US0605051046
HD,HOME DEPOT INC,US4370761029
AMD,ADVANCED MICRO DEVICES INC,US0079031078
PG,PROCTER & GAMBLE,US7427181091
ORCL,ORACLE CORP,US68389X1054
GE,GE AEROSPACE,US3696043013
CSCO,CISCO SYSTEMS INC,US17275R1023
UNH,UNITEDHEALTH GROUP INC,US91324P1021
CVX,CHEVRON CORP,US1667641005
IBM,INTERNATIONAL BUSINESS MACHINES CO,US4592001014
KO,COCA-COLA,US1912161007
WFC,WELLS FARGO,US9497461015
CAT,CATERPILLAR INC,US1491231015
MRK,MERCK & CO INC,US58933Y1055
MU,MICRON TECHNOLOGY INC,US5951121038
GS,GOLDMAN SACHS GROUP INC,US38141G1040
PM,PHILIP MORRIS INTERNATIONAL INC,US7181721090
RTX,RTX CORP,US75513E1010
TMO,THERMO FISHER SCIENTIFIC INC,US8835561023
ABT,ABBOTT LABORATORIES,US0028241000
MCD,MCDONALDS CORP,US5801351017
CRM,SALESFORCE INC,US79466L3024
ISRG,INTUITIVE SURGICAL INC,US46120E6023
MS,MORGAN STANLEY,US6174464486
PEP,PEPSICO INC,US7134481081
AMAT,APPLIED MATERIAL INC,US0382221051
AXP,AMERICAN EXPRESS,US0258161092
LRCX,LAM RESEARCH CORP,US5128073062
LIN,LINDE PLC,IE000S9YS762
C,CITIGROUP INC,US1729674242
DIS,WALT DISNEY,US2546871060
AMGN,AMGEN INC,US0311621009
T,AT&T INC,US00206R1023
UBER,UBER TECHNOLOGIES INC,US90353T1007
QCOM,QUALCOMM INC,US7475251036
NEE,NEXTERA ENERGY INC,US65339F1012
INTU,INTUIT INC,US4612021034
VZ,VERIZON COMMUNICATIONS INC,US92343V1044
TJX,TJX INC,US8725401090
APH,AMPHENOL CORP CLASS A,US0320951017
NOW,SERVICENOW INC,US81762P1021
INTC,INTEL CORPORATION CORP,US4581401001
GEV,GE VERNOVA INC,US36828A1016
BKNG,BOOKING HOLDINGS INC,US09857L1089
APP,APPLOVIN CORP CLASS A,US03831W1080
GILD,GILEAD SCIENCES INC,US3755581036
SCHW,CHARLES SCHWAB CORP,US8085131055
SPGI,S&P GLOBAL INC,US78409V1044
ACN,ACCENTURE PLC CLASS A,IE00B4BNMY34
KLAC,KLA CORP,US4824801009
TXN,TEXAS INSTRUMENT INC,US8825081040
BLK,BLACKROCK INC,US09290D1019
BSX,BOSTON SCIENTIFIC CORP,US1011371077
PFE,PFIZER INC,US7170811035
DHR,DANAHER CORP,US2358511028
BA,BOEING,US0970231058
COF,CAPITAL ONE FINANCIAL CORP,US14040H1059
WELL,WELLTOWER INC,US95040Q1040
UNP,UNION PACIFIC CORP,US9078181081
LOW,LOWES COMPANIES INC,US5486611073
ADBE,ADOBE INC,US00724F1012
MDT,MEDTRONIC PLC,IE00BTN1Y115
PGR,PROGRESSIVE CORP,US7433151039
ETN,EATON PLC,IE00B8KQN827
ANET,ARISTA NETWORKS INC,US0404132054
SYK,STRYKER CORP,US8636671013
ADI,ANALOG DEVICES INC,US0326541051
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,US22788C1053
PANW,PALO ALTO NETWORKS INC,US6974351057
HON,HONEYWELL INTERNATIONAL INC,US4385161066
PLD,PROLOGIS REIT INC,US74340W1036
DE,DEERE,US2441991054
CEG,CONSTELLATION ENERGY CORP,US21037T1097
VRTX,VERTEX PHARMACEUTICALS INC,US92532F1003
CB,CHUBB LTD,CH0044328745
PH,PARKER-HANNIFIN CORP,US7010941042
MCK,MCKESSON CORP,US58155Q1031
COP,CONOCOPHILLIPS,US20825C1045
BX,BLACKSTONE INC,US09260D1072
ADP,AUTOMATIC DATA PROCESSING INC,US0530151036
CME,CME GROUP INC CLASS A,US12572Q1058
CVS,CVS HEALTH CORP,US1266501006
BMY,BRISTOL MYERS SQUIBB,US1101221083
TMUS,T MOBILE US INC,US8725901040
NEM,NEWMONT,US6516391066
SO,SOUTHERN,US8425871071
HOOD,ROBINHOOD MARKETS INC CLASS A,US7707001027
MO,ALTRIA GROUP INC,US02209S1033
SBUX,STARBUCKS CORP,US8552441094
CMCSA,COMCAST CORP CLASS A,US20030N1019
DUK,DUKE ENERGY CORP,US26441C2044
TT,TRANE TECHNOLOGIES PLC,IE00BK9ZQ967
LMT,LOCKHEED MARTIN CORP,US5398301094
MMM,3M,US88579Y1010
MMC,MARSH & MCLENNAN INC,US5717481023
ICE,INTERCONTINENTAL EXCHANGE INC,US45866F1049
ORLY,OREILLY AUTOMOTIVE INC,US67103H1077
GD,GENERAL DYNAMICS CORP,US3695501086
AMT,AMERICAN TOWER REIT CORP,US03027X1000
HCA,HCA HEALTHCARE INC,US40412C1018
CDNS,CADENCE DESIGN SYSTEMS INC,US1273871087
KKR,KKR AND CO INC,US48251W1045
HWM,HOWMET AEROSPACE INC,US4432011082
WM,WASTE MANAGEMENT INC,US94106L1098
REGN,REGENERON PHARMACEUTICALS INC,US75886F1075
SHW,SHERWIN WILLIAMS,US8243481061
BK,BANK OF NEW YORK MELLON CORP,US0640581007
TDG,TRANSDIGM GROUP INC,US8936411003
NKE,NIKE INC CLASS B,US6541061031
NOC,NORTHROP GRUMMAN CORP,US6668071029
AON,AON PLC CLASS A,IE00BLP1HW54
ELV,ELEVANCE HEALTH INC,US0367521038
USB,US BANCORP,US9029733048
SNPS,SYNOPSYS INC,US8716071076
JCI,JOHNSON CONTROLS INTERNATIONAL PLC,IE00BY7QL619
PNC,PNC FINANCIAL SERVICES GROUP INC,US6934751057
MCO,MOODYS CORP,US6153691059
CI,CIGNA,US1255231003
EMR,EMERSON ELECTRIC,US2910111044
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,US6092071058
WMB,WILLIAMS INC,US9694571004
EQIX,EQUINIX REIT INC,US29444U7000
DASH,DOORDASH INC CLASS A,US25809K1051
COR,CENCORA INC,US03073E1055
UPS,UNITED PARCEL SERVICE INC CLASS B,US9113121068
ECL,ECOLAB INC,US2788651006
GM,GENERAL MOTORS,US37045V1008
MAR,MARRIOTT INTERNATIONAL INC CLASS A,US5719032022
PWR,QUANTA SERVICES INC,US74762E1029
CMI,CUMMINS INC,US2310211063
HLT,HILTON WORLDWIDE HOLDINGS INC,US43300A2033
RCL,ROYAL CARIBBEAN GROUP LTD,LR0008862868
TEL,TE CONNECTIVITY PLC,IE000IVNQZ81
TRV,TRAVELERS COMPANIES INC,US89417E1091
AZO,AUTOZONE INC,US0533321024
ITW,ILLINOIS TOOL INC,US4523081093
AEP,AMERICAN ELECTRIC POWER INC,US0255371017
CSX,CSX CORP,US1264081035
GLW,CORNING INC,US2193501051
NSC,NORFOLK SOUTHERN CORP,US6558441084
CL,COLGATE-PALMOLIVE,US1941621039
ADSK,AUTODESK INC,US0527691069
AJG,ARTHUR J GALLAGHER,US3635761097
CTAS,CINTAS CORP,US1729081059
MSI,MOTOROLA SOLUTIONS INC,US6200763075
SRE,SEMPRA,US8168511090
SPG,SIMON PROPERTY GROUP REIT INC,US8288061091
FCX,FREEPORT MCMORAN INC,US35671D8570
IDXX,IDEXX LABORATORIES INC,US45168D1046
APO,APOLLO GLOBAL MANAGEMENT INC,US03769M1062
COIN,COINBASE GLOBAL INC CLASS A,US19260Q1076
FDX,FEDEX CORP,US31428X1063
TFC,TRUIST FINANCIAL CORP,US89832Q1094
WBD,WARNER BROS. DISCOVERY INC SERIES,US9344231041
PYPL,PAYPAL HOLDINGS INC,US70450Y1038
MPC,MARATHON PETROLEUM CORP,US56585A1025
EOG,EOG RESOURCES INC,US26875P1012
ROST,ROSS STORES INC,US7782961038
STX,SEAGATE TECHNOLOGY HOLDINGS PLC,IE00BKVD2N49
APD,AIR PRODUCTS AND CHEMICALS INC,US0091581068
ZTS,ZOETIS INC CLASS A,US98978V1035
ALL,ALLSTATE CORP,US0200021014
VST,VISTRA CORP,US92840M1027
BDX,BECTON DICKINSON,US0758871091
PCAR,PACCAR INC,US6937181088
WDC,WESTERN DIGITAL CORP,US9581021055
PSX,PHILLIPS,US7185461040
